,PDBname,affinity
4457,1bzc,4.92
4458,1e1v,4.92
4459,1ff1,4.92
4460,1h1p,4.92
4461,1h4n,4.92
4462,1jqy,4.92
4463,1nlt,4.92
4464,1y2f,4.92
4465,2a58,4.92
4466,2c93,4.92
4467,2ggb,4.92
4468,2haw,4.92
4469,2n06,4.92
4470,2w70,4.92
4471,3azb,4.92
4472,3chd,4.92
4473,3dgq,4.92
4474,3eax,4.92
4475,3i6c,4.92
4476,3k15,4.92
4477,3ntp,4.92
4478,3rv8,4.92
4479,3rv9,4.92
4480,3s00,4.92
4481,3szb,4.92
4482,3ukr,4.92
4483,3vdc,4.92
4484,4b81,4.92
4485,4c73,4.92
4486,4g55,4.92
4487,4j47,4.92
4488,4n8d,4.92
4489,4re9,4.92
4490,4zlo,4.92
4491,5d3t,4.92
4492,5ehp,4.92
4493,5evk,4.92
4494,5ezg,4.92
4495,5f1j,4.92
4496,5gmi,4.92
4497,5lpl,4.92
4498,5m57,4.92
4499,5mxv,4.92
4500,5otr,4.92
4501,5u51,4.92
4502,5whc,4.92
4503,5x79,4.92
4504,5yc4,4.92
4505,5ytu,4.92
4506,6bg3,4.92
4507,6bh3,4.92
4508,6dq4,4.92
4509,6ful,4.92
4510,6hp0,4.92
4511,6j0o,4.92
4512,6pg9,4.92
4513,6qqv,4.92
4514,6r11,4.92
4515,6r18,4.92
4516,6r1c,4.92
4517,2wib,4.93
4518,2y7k,4.93
4519,3iqj,4.93
4520,3uxk,4.93
4521,3zmj,4.93
4522,4bdc,4.93
4523,4cxy,4.93
4524,4ido,4.93
4525,4lc7,4.93
4526,5t6j,4.93
4527,6azl,4.93
4528,1e2k,4.94
4529,1r2b,4.94
4530,2gss,4.94
4531,2vd0,4.94
4532,2vo4,4.94
4533,2vpe,4.94
4534,3dow,4.94
4535,4dmw,4.94
4536,4j5e,4.94
4537,4lbp,4.94
4538,4mnv,4.94
4539,4nms,4.94
4540,4p4s,4.94
4541,4qht,4.94
4542,4ts1,4.94
4543,5f32,4.94
4544,5h13,4.94
4545,5iee,4.94
4546,5yc2,4.94
4547,6f34,4.94
4548,6hmg,4.94
4549,1jn4,4.95
4550,2gh6,4.95
4551,2x95,4.95
4552,2z50,4.95
4553,3bpr,4.95
4554,3mxr,4.95
4555,3vp3,4.95
4556,4bup,4.95
4557,4cft,4.95
4558,4civ,4.95
4559,4f1q,4.95
4560,4nmv,4.95
4561,5gwy,4.95
4562,5w7i,4.95
4563,5yz2,4.95
4564,5zbz,4.95
4565,6msn,4.95
4566,1ao0,4.96
4567,1cea,4.96
4568,1dar,4.96
4569,1elr,4.96
4570,1gj5,4.96
4571,1nlp,4.96
4572,1o5g,4.96
4573,1pg2,4.96
4574,1pwq,4.96
4575,1t3t,4.96
4576,1tsy,4.96
4577,1uz8,4.96
4578,2c6i,4.96
4579,2pks,4.96
4580,2vjx,4.96
4581,2w67,4.96
4582,2xsb,4.96
4583,2yoh,4.96
4584,3bxg,4.96
4585,3d67,4.96
4586,3hxf,4.96
4587,3lbj,4.96
4588,3m5a,4.96
4589,3mmr,4.96
4590,3n2e,4.96
4591,3n87,4.96
4592,3udr,4.96
4593,3unj,4.96
4594,3veh,4.96
4595,3zsq,4.96
4596,4c16,4.96
4597,4j04,4.96
4598,4jsa,4.96
4599,4k5l,4.96
4600,4lbl,4.96
4601,4oym,4.96
4602,4pl5,4.96
4603,4qmx,4.96
4604,4rlt,4.96
4605,5ajo,4.96
4606,5al3,4.96
4607,5cyv,4.96
4608,5fjx,4.96
4609,5ioz,4.96
4610,5k05,4.96
4611,5sxn,4.96
4612,5sy2,4.96
4613,5ti7,4.96
4614,5xiw,4.96
4615,6gjw,4.96
4616,6i77,4.96
4617,6ibs,4.96
4618,6jwa,4.96
4619,6ob0,4.96
4620,6pf5,4.96
4621,6pg5,4.96
4622,6pia,4.96
4623,6r0v,4.96
4624,2ew6,4.97
4625,2kaw,4.97
4626,2wd7,4.97
4627,3lle,4.97
4628,3qbc,4.97
4629,3uik,4.97
4630,3zn0,4.97
4631,4c1c,4.97
4632,4c3k,4.97
4633,4e3g,4.97
4634,4in9,4.97
4635,4ozl,4.97
4636,5le1,4.97
4637,6aoy,4.97
4638,6arm,4.97
4639,6drt,4.97
4640,6f4x,4.97
4641,6f9r,4.97
4642,6haj,4.97
4643,6kjf,4.97
4644,6n92,4.97
4645,2gfa,4.98
4646,2h2h,4.98
4647,2rox,4.98
4648,2vr3,4.98
4649,2w47,4.98
4650,2y7w,4.98
4651,4jfl,4.98
4652,4mqp,4.98
4653,4re2,4.98
4654,4wv6,4.98
4655,5dlv,4.98
4656,6jof,4.98
4657,1j4p,4.99
4658,1k3n,4.99
4659,3gjs,4.99
4660,3hrf,4.99
4661,3wp0,4.99
4662,4b12,4.99
4663,4jht,4.99
4664,4qc1,4.99
4665,4tsx,4.99
4666,4w9d,4.99
4667,4xqa,4.99
4668,5gj9,4.99
4669,5v8p,4.99
4670,6gnw,4.99
4671,6o68,4.99
4672,6p85,4.99
4673,1c84,5.0
4674,1cp6,5.0
4675,1f8a,5.0
4676,1fgi,5.0
4677,1fv9,5.0
4678,1gsf,5.0
4679,1hlk,5.0
4680,1hqf,5.0
4681,1i6v,5.0
4682,1ih0,5.0
4683,1inf,5.0
4684,1jm4,5.0
4685,1jpl,5.0
4686,1kr3,5.0
4687,1nc3,5.0
4688,1nnb,5.0
4689,1o35,5.0
4690,1oai,5.0
4691,1pip,5.0
4692,1ql7,5.0
4693,1r6z,5.0
4694,1sbr,5.0
4695,1sts,5.0
4696,1uvu,5.0
4697,1w2h,5.0
4698,1yid,5.0
4699,1zhl,5.0
4700,2aig,5.0
4701,2bgd,5.0
4702,2jqi,5.0
4703,2kbs,5.0
4704,2oiq,5.0
4705,2oym,5.0
4706,2qcn,5.0
4707,2vxn,5.0
4708,2w6u,5.0
4709,2w76,5.0
4710,2y6c,5.0
4711,3cfn,5.0
4712,3d1g,5.0
4713,3dkg,5.0
4714,3dp1,5.0
4715,3dvp,5.0
4716,3ezr,5.0
4717,3gbe,5.0
4718,3k02,5.0
4719,3new,5.0
4720,3omc,5.0
4721,3p9m,5.0
4722,3pax,5.0
4723,3sv9,5.0
4724,3ufa,5.0
4725,3uii,5.0
4726,3uqg,5.0
4727,3vbv,5.0
4728,4b78,5.0
4729,4cts,5.0
4730,4czs,5.0
4731,4g11,5.0
4732,4iu4,5.0
4733,4lv4,5.0
4734,4mdt,5.0
4735,4mw7,5.0
4736,4n5g,5.0
4737,4n8r,5.0
4738,4o62,5.0
4739,4o7c,5.0
4740,4oi6,5.0
4741,4p74,5.0
4742,4pnq,5.0
4743,4rn1,5.0
4744,4u6c,5.0
4745,4waf,5.0
4746,4xbb,5.0
4747,4xoe,5.0
4748,4xsx,5.0
4749,4xxh,5.0
4750,4zh2,5.0
4751,4zsg,5.0
4752,4zsl,5.0
4753,5aux,5.0
4754,5c7e,5.0
4755,5dl1,5.0
4756,5evb,5.0
4757,5evd,5.0
4758,5itp,5.0
4759,5iui,5.0
4760,5lj2,5.0
4761,5lpj,5.0
4762,5myl,5.0
4763,5nkk,5.0
4764,5nq5,5.0
4765,5o3r,5.0
4766,5wi1,5.0
4767,5x54,5.0
4768,5yft,5.0
4769,5zgg,5.0
4770,5zhj,5.0
4771,6axj,5.0
4772,6bto,5.0
4773,6ft7,5.0
4774,6g7f,5.0
4775,6g8l,5.0
4776,6huv,5.0
4777,6qh9,5.0
4778,6qrg,5.0
4779,1ppi,5.01
4780,2glp,5.01
4781,2i1r,5.01
4782,3ads,5.01
4783,3mxs,5.01
4784,3tfk,5.01
4785,3uda,5.01
4786,4agq,5.01
4787,4btb,5.01
4788,4dds,5.01
4789,4m5g,5.01
4790,4qz4,5.01
4791,4u4x,5.01
4792,4uzh,5.01
4793,4yyl,5.01
4794,5am2,5.01
4795,5fom,5.01
4796,5ick,5.01
4797,5oa2,5.01
4798,6g2e,5.01
4799,6njz,5.01
4800,6p89,5.01
4801,1fsg,5.02
4802,1u9l,5.02
4803,2cct,5.02
4804,2d0k,5.02
4805,2m3m,5.02
4806,2or4,5.02
4807,2wji,5.02
4808,2xbp,5.02
4809,3bgc,5.02
4810,3smq,5.02
4811,3usx,5.02
4812,4dow,5.02
4813,4est,5.02
4814,4l7r,5.02
4815,4mz6,5.02
4816,4nro,5.02
4817,4rlk,5.02
4818,4rll,5.02
4819,4u70,5.02
4820,4w4s,5.02
4821,4w9l,5.02
4822,5d1s,5.02
4823,5du6,5.02
4824,5ff6,5.02
4825,5iok,5.02
4826,6hbm,5.02
4827,6hgf,5.02
4828,1i1e,5.03
4829,2qt5,5.03
4830,3aje,5.03
4831,3rdh,5.03
4832,4io5,5.03
4833,4jjq,5.03
4834,4np9,5.03
4835,4rcg,5.03
4836,4trz,5.03
4837,4y6s,5.03
4838,4y7r,5.03
4839,4yat,5.03
4840,5huy,5.03
4841,5mlw,5.03
4842,5mrm,5.03
4843,5n3y,5.03
4844,5nyz,5.03
4845,5nz2,5.03
4846,5wio,5.03
4847,5x4p,5.03
4848,6b27,5.03
4849,6bhd,5.03
4850,6emu,5.03
4851,6fby,5.03
4852,6fmi,5.03
4853,6mo7,5.03
4854,1m5d,5.04
4855,1mfa,5.04
4856,2h2g,5.04
4857,2jmj,5.04
4858,2oht,5.04
4859,2w85,5.04
4860,2wmv,5.04
4861,3tz0,5.04
4862,3v4j,5.04
4863,4dgr,5.04
4864,4jaz,5.04
4865,4jym,5.04
4866,4lk7,5.04
4867,4lph,5.04
4868,4uu5,5.04
4869,4yp1,5.04
4870,4yuz,5.04
4871,4z7n,5.04
4872,4z7o,5.04
4873,5d3n,5.04
4874,5f25,5.04
4875,5loh,5.04
4876,5lyn,5.04
4877,5ovp,5.04
4878,5xyy,5.04
4879,6ajv,5.04
4880,6ajx,5.04
4881,6ayn,5.04
4882,6cyi,5.04
4883,6j7e,5.04
4884,1dgm,5.05
4885,1fkw,5.05
4886,1gi8,5.05
4887,1qxk,5.05
4888,1uu8,5.05
4889,2brc,5.05
4890,2n9e,5.05
4891,3aau,5.05
4892,3fpm,5.05
4893,3hxd,5.05
4894,3s2o,5.05
4895,3s76,5.05
4896,3sxu,5.05
4897,3uzd,5.05
4898,3zjc,5.05
4899,4c94,5.05
4900,4euo,5.05
4901,4fmq,5.05
4902,4ie7,5.05
4903,4kvm,5.05
4904,4oct,5.05
4905,4oeg,5.05
4906,4pnw,5.05
4907,4rqv,5.05
4908,4wci,5.05
4909,4y2y,5.05
4910,4yzu,5.05
4911,5acx,5.05
4912,5auw,5.05
4913,5f29,5.05
4914,5i3a,5.05
4915,5lb7,5.05
4916,5nxy,5.05
4917,5ok6,5.05
4918,5xhs,5.05
4919,5xvk,5.05
4920,5xvq,5.05
4921,6agp,5.05
4922,6b67,5.05
4923,6bmi,5.05
4924,6d50,5.05
4925,6da1,5.05
4926,6dat,5.05
4927,6eww,5.05
4928,6exi,5.05
4929,6kjd,5.05
4930,6mlg,5.05
4931,6r1k,5.05
4932,2h6k,5.06
4933,2ipo,5.06
4934,2v77,5.06
4935,2vwf,5.06
4936,2yge,5.06
4937,3f68,5.06
4938,3p9h,5.06
4939,4cfx,5.06
4940,4ebw,5.06
4941,4h7q,5.06
4942,4j7i,5.06
4943,5a2i,5.06
4944,5c1w,5.06
4945,5ega,5.06
4946,5h14,5.06
4947,5i0b,5.06
4948,5icy,5.06
4949,5luu,5.06
4950,5ops,5.06
4951,5tri,5.06
4952,5vjn,5.06
4953,6qlo,5.06
4954,2c3l,5.07
4955,2i7c,5.07
4956,2xm1,5.07
4957,2yfa,5.07
4958,3axm,5.07
4959,3juo,5.07
4960,3r00,5.07
4961,4eok,5.07
4962,4f8j,5.07
4963,4yab,5.07
4964,5ak3,5.07
4965,5dg6,5.07
4966,5hwv,5.07
4967,5j7j,5.07
4968,5l87,5.07
4969,5u12,5.07
4970,6axp,5.07
4971,6dik,5.07
4972,6dq6,5.07
4973,6fym,5.07
4974,6i76,5.07
4975,6j9y,5.07
4976,6jtc,5.07
4977,6n0k,5.07
4978,6nnr,5.07
4979,6qr1,5.07
4980,6r4k,5.07
4981,1enu,5.08
4982,1gfy,5.08
4983,2qtg,5.08
4984,3efr,5.08
4985,3m94,5.08
4986,3nw5,5.08
4987,3qsb,5.08
4988,3qyy,5.08
4989,3snd,5.08
4990,3tb6,5.08
4991,3w2o,5.08
4992,4drk,5.08
4993,4ie0,5.08
4994,4mho,5.08
4995,4ock,5.08
4996,4ocv,5.08
4997,4od7,5.08
4998,4oiv,5.08
4999,4twd,5.08
5000,4xx9,5.08
5001,4z2h,5.08
5002,5gmj,5.08
5003,5i13,5.08
5004,5j32,5.08
5005,5n2t,5.08
5006,5trh,5.08
5007,6d16,5.08
5008,6jid,5.08
5009,1m48,5.09
5010,1nw7,5.09
5011,1yyy,5.09
5012,1zkl,5.09
5013,2y1o,5.09
5014,2ygf,5.09
5015,2yk9,5.09
5016,3hbo,5.09
5017,3o4l,5.09
5018,3w2p,5.09
5019,4c72,5.09
5020,4cq0,5.09
5021,4f6x,5.09
5022,4qvy,5.09
5023,4r4q,5.09
5024,4utv,5.09
5025,4x3u,5.09
5026,4xpj,5.09
5027,5fhm,5.09
5028,5h5s,5.09
5029,5hkh,5.09
5030,5jmx,5.09
5031,5o9p,5.09
5032,6e86,5.09
5033,6n3x,5.09
5034,1b9t,5.1
5035,1ez9,5.1
5036,1kmy,5.1
5037,1m6p,5.1
5038,1o0o,5.1
5039,1od8,5.1
5040,1onz,5.1
5041,1rlp,5.1
5042,1rlq,5.1
5043,1t4j,5.1
5044,1v0k,5.1
5045,1v0m,5.1
5046,1vj6,5.1
5047,1w7g,5.1
5048,1x8s,5.1
5049,1yvx,5.1
5050,1zaj,5.1
5051,2am2,5.1
5052,2d1x,5.1
5053,2h5a,5.1
5054,2m41,5.1
5055,2pnx,5.1
5056,2qrq,5.1
5057,2r02,5.1
5058,2r9w,5.1
5059,3bxs,5.1
5060,3gy4,5.1
5061,3h22,5.1
5062,3nif,5.1
5063,3p4v,5.1
5064,3qw8,5.1
5065,3syr,5.1
5066,3u3f,5.1
5067,3ujb,5.1
5068,3vp2,5.1
5069,3zvy,5.1
5070,4b77,5.1
5071,4cdr,5.1
5072,4dcs,5.1
5073,4ejf,5.1
5074,4h3q,5.1
5075,4iho,5.1
5076,4qsh,5.1
5077,4qsk,5.1
5078,4qvn,5.1
5079,4rkx,5.1
5080,4rn6,5.1
5081,4tk3,5.1
5082,4tk4,5.1
5083,4ux9,5.1
5084,4ydf,5.1
5085,5d3h,5.1
5086,5f39,5.1
5087,5iv2,5.1
5088,5q1h,5.1
5089,5xhr,5.1
5090,6ap8,5.1
5091,6c9q,5.1
5092,6ce6,5.1
5093,6hoi,5.1
5094,6hrx,5.1
5095,6md6,5.1
5096,6s56,5.1
5097,6s57,5.1
5098,1k4h,5.11
5099,1yp9,5.11
5100,2h6q,5.11
5101,3gpj,5.11
5102,3hnb,5.11
5103,3k4d,5.11
5104,3ozj,5.11
5105,4b6u,5.11
5106,4e49,5.11
5107,4em7,5.11
5108,4gly,5.11
5109,4qfl,5.11
5110,5c7d,5.11
5111,5kej,5.11
5112,5lbq,5.11
5113,5lm6,5.11
5114,5ngf,5.11
5115,5ogk,5.11
5116,5szb,5.11
5117,5u0e,5.11
5118,5vqu,5.11
5119,5y0x,5.11
5120,6f0y,5.11
5121,6jdi,5.11
5122,6mtv,5.11
5123,6n7y,5.11
5124,1qaw,5.12
5125,1uv6,5.12
5126,2i5f,5.12
5127,2web,5.12
5128,2y8o,5.12
5129,2yjw,5.12
5130,2yjx,5.12
5131,3bki,5.12
5132,3hb8,5.12
5133,3kad,5.12
5134,3n2c,5.12
5135,3nkx,5.12
5136,3tu9,5.12
5137,3zso,5.12
5138,4ay6,5.12
5139,4bio,5.12
5140,4f1l,5.12
5141,4gj6,5.12
5142,4h81,5.12
5143,4kiw,5.12
5144,4m5n,5.12
5145,4pci,5.12
5146,4zed,5.12
5147,5d1w,5.12
5148,5f74,5.12
5149,5vsb,5.12
5150,5wkm,5.12
5151,5y1u,5.12
5152,6bh8,5.12
5153,6i13,5.12
5154,6n95,5.12
5155,6o3w,5.12
5156,6qe5,5.12
5157,1gcz,5.13
5158,1hti,5.13
5159,2kwn,5.13
5160,2x4t,5.13
5161,3aza,5.13
5162,3o8g,5.13
5163,3s9e,5.13
5164,3wk4,5.13
5165,4ezt,5.13
5166,4flj,5.13
5167,4l7c,5.13
5168,4qms,5.13
5169,5d3p,5.13
5170,5hda,5.13
5171,6f9u,5.13
5172,6j9w,5.13
5173,6st0,5.13
5174,1pmx,5.14
5175,1w2x,5.14
5176,1y3x,5.14
5177,1zzz,5.14
5178,2br1,5.14
5179,2hqu,5.14
5180,2lct,5.14
5181,2xi7,5.14
5182,2yaz,5.14
5183,2zjv,5.14
5184,3bls,5.14
5185,3kr2,5.14
5186,3pj2,5.14
5187,3sow,5.14
5188,3tao,5.14
5189,3wuu,5.14
5190,4aua,5.14
5191,4bdj,5.14
5192,4c1g,5.14
5193,4ejl,5.14
5194,4iks,5.14
5195,4qw0,5.14
5196,4xjt,5.14
5197,5btr,5.14
5198,5kva,5.14
5199,5q11,5.14
5200,5xbt,5.14
5201,5zh4,5.14
5202,6b7c,5.14
5203,6dak,5.14
5204,6gw1,5.14
5205,6gzl,5.14
5206,6m8d,5.14
5207,6mvx,5.14
5208,6mx3,5.14
5209,6qcg,5.14
5210,1g6s,5.15
5211,1jcx,5.15
5212,1jvu,5.15
5213,1kna,5.15
5214,1ljt,5.15
5215,1lkx,5.15
5216,1mzs,5.15
5217,1o0m,5.15
5218,1pb8,5.15
5219,1qk3,5.15
5220,1qxw,5.15
5221,1s38,5.15
5222,1skj,5.15
5223,1t1s,5.15
5224,1thz,5.15
5225,2afx,5.15
5226,2go4,5.15
5227,2gtv,5.15
5228,2knh,5.15
5229,2o5d,5.15
5230,2ooz,5.15
5231,2r03,5.15
5232,2r05,5.15
5233,2xrw,5.15
5234,2xs0,5.15
5235,3b95,5.15
5236,3e6k,5.15
5237,3l5c,5.15
5238,3msl,5.15
5239,3n49,5.15
5240,3ozr,5.15
5241,3p8e,5.15
5242,3udn,5.15
5243,4b83,5.15
5244,4h85,5.15
5245,4jpx,5.15
5246,4pce,5.15
5247,4qip,5.15
5248,4qrh,5.15
5249,4qvv,5.15
5250,4qzw,5.15
5251,4w9e,5.15
5252,5alw,5.15
5253,5djp,5.15
5254,5gp7,5.15
5255,5kqg,5.15
5256,5mwz,5.15
5257,5oai,5.15
5258,5vew,5.15
5259,5xg4,5.15
5260,5y2f,5.15
5261,5zqu,5.15
5262,6aro,5.15
5263,6b95,5.15
5264,6f8t,5.15
5265,6jn5,5.15
5266,6n7q,5.15
5267,6n97,5.15
5268,6ntb,5.15
5269,6nu5,5.15
5270,1jqd,5.16
5271,1oe0,5.16
5272,1q1m,5.16
5273,2ltv,5.16
5274,2y2k,5.16
5275,3b27,5.16
5276,3ctr,5.16
5277,3lqi,5.16
5278,4fqo,5.16
5279,5ow8,5.16
5280,5th7,5.16
5281,5ufc,5.16
5282,5v83,5.16
5283,6jn3,5.16
5284,6mjf,5.16
5285,6om8,5.16
5286,6peg,5.16
5287,6pnn,5.16
5288,1q0b,5.17
5289,2f5t,5.17
5290,2ynn,5.17
5291,2zfp,5.17
5292,3b7j,5.17
5293,3eht,5.17
5294,3nzx,5.17
5295,3rni,5.17
5296,3tc5,5.17
5297,3uvw,5.17
5298,3wuv,5.17
5299,4gkm,5.17
5300,4h3b,5.17
5301,4kp4,5.17
5302,4m5i,5.17
5303,5ahw,5.17
5304,5aut,5.17
5305,5diq,5.17
5306,5fdz,5.17
5307,5hm3,5.17
5308,5ohy,5.17
5309,5svi,5.17
5310,5ubg,5.17
5311,6cbf,5.17
5312,6evo,5.17
5313,6g2f,5.17
5314,6g8i,5.17
5315,6hf5,5.17
5316,6hwz,5.17
5317,6ipk,5.17
5318,6pnm,5.17
5319,6qqq,5.17
5320,1ft7,5.18
5321,1xur,5.18
5322,2p9a,5.18
5323,2qrg,5.18
5324,3iqv,5.18
5325,3kag,5.18
5326,3w37,5.18
5327,4duh,5.18
5328,4iif,5.18
5329,4u73,5.18
5330,4zs3,5.18
5331,5tbp,5.18
5332,6ar9,5.18
5333,6dnp,5.18
5334,6uvv,5.18
5335,1ocq,5.19
5336,1ogg,5.19
5337,1oxr,5.19
5338,1rnt,5.19
5339,2c5o,5.19
5340,2ko7,5.19
5341,2lha,5.19
5342,2mnz,5.19
5343,2nxm,5.19
5344,2qdt,5.19
5345,2xey,5.19
5346,3kjn,5.19
5347,3s1g,5.19
5348,3t4p,5.19
5349,3twr,5.19
5350,3vfq,5.19
5351,4ezz,5.19
5352,4fxf,5.19
5353,4g0l,5.19
5354,4m0z,5.19
5355,4ono,5.19
5356,4qok,5.19
5357,5h21,5.19
5358,5otz,5.19
5359,6arn,5.19
5360,6cj5,5.19
5361,6dq5,5.19
5362,6hv7,5.19
5363,1kll,5.2
5364,2pmn,5.2
5365,3kqs,5.2
5366,3ov1,5.2
5367,3qj0,5.2
5368,3t7g,5.2
5369,3tjm,5.2
5370,3uu1,5.2
5371,3wk6,5.2
5372,4a6s,5.2
5373,4b70,5.2
5374,4bw2,5.2
5375,4ezq,5.2
5376,4ezr,5.2
5377,4lk6,5.2
5378,4mk0,5.2
5379,4qvq,5.2
5380,5a7j,5.2
5381,5aia,5.2
5382,5emb,5.2
5383,5f91,5.2
5384,5g1p,5.2
5385,5hg1,5.2
5386,5lu2,5.2
5387,5q10,5.2
5388,6d1x,5.2
5389,6oh2,5.2
5390,6qhc,5.2
5391,1nw5,5.21
5392,1o2r,5.21
5393,1ox9,5.21
5394,1re1,5.21
5395,2brg,5.21
5396,2mlm,5.21
5397,3b2t,5.21
5398,3bcs,5.21
5399,3ilq,5.21
5400,3nsq,5.21
5401,3qiz,5.21
5402,3rth,5.21
5403,3wqv,5.21
5404,4cwo,5.21
5405,4few,5.21
5406,4h2m,5.21
5407,4ifh,5.21
5408,4je8,5.21
5409,4m0r,5.21
5410,4mds,5.21
5411,4qz2,5.21
5412,5e0j,5.21
5413,5mxr,5.21
5414,5o9q,5.21
5415,5oje,5.21
5416,5trk,5.21
5417,5ty1,5.21
5418,5ty9,5.21
5419,5wag,5.21
5420,5x13,5.21
5421,5zyg,5.21
5422,6a04,5.21
5423,6asu,5.21
5424,6f8b,5.21
5425,6g84,5.21
5426,6g85,5.21
5427,6iht,5.21
5428,6pvu,5.21
5429,6t1m,5.21
5430,7prc,5.21
5431,16pk,5.22
5432,1bq4,5.22
5433,1f3j,5.22
5434,1gi9,5.22
5435,1gjd,5.22
5436,1h1h,5.22
5437,1irs,5.22
5438,1j17,5.22
5439,1o5c,5.22
5440,1pw6,5.22
5441,1ucn,5.22
5442,1w4o,5.22
5443,1zea,5.22
5444,1zz2,5.22
5445,2gnf,5.22
5446,2gnj,5.22
5447,2gz2,5.22
5448,2hxm,5.22
5449,2koh,5.22
5450,2qbx,5.22
5451,2rfy,5.22
5452,2wzm,5.22
5453,2xow,5.22
5454,2xwy,5.22
5455,2zxd,5.22
5456,3dne,5.22
5457,3ds3,5.22
5458,3h85,5.22
5459,3ijz,5.22
5460,3iof,5.22
5461,3lq2,5.22
5462,3lq4,5.22
5463,3ms9,5.22
5464,3n1c,5.22
5465,3n5j,5.22
5466,3nti,5.22
5467,3o6t,5.22
5468,3osi,5.22
5469,3ppp,5.22
5470,3q71,5.22
5471,3qxt,5.22
5472,3udp,5.22
5473,3vbw,5.22
5474,4kup,5.22
5475,4lrr,5.22
5476,4r5g,5.22
5477,4u71,5.22
5478,4z8d,5.22
5479,5cgj,5.22
5480,5dhs,5.22
5481,5dkr,5.22
5482,5ev8,5.22
5483,5ioy,5.22
5484,5ja0,5.22
5485,5ksv,5.22
5486,5u6k,5.22
5487,6di0,5.22
5488,6f4n,5.22
5489,6ms1,5.22
5490,6mtu,5.22
5491,6p10,5.22
5492,1b4z,5.23
5493,1ndw,5.23
5494,2q38,5.23
5495,3dcq,5.23
5496,3lc3,5.23
5497,3pxy,5.23
5498,3pxz,5.23
5499,3wqw,5.23
5500,4m5k,5.23
5501,4mh7,5.23
5502,4qp7,5.23
5503,5ema,5.23
5504,5tzo,5.23
5505,5o5m,5.23
5506,5ot3,5.23
5507,5zms,5.23
5508,6bhv,5.23
5509,6ert,5.23
5510,6hvs,5.23
5511,6ibv,5.23
5512,6jam,5.23
5513,6mxd,5.23
5514,6pu3,5.23
5515,1fh7,5.24
5516,1hk5,5.24
5517,1q8w,5.24
5518,1s89,5.24
5519,1zrz,5.24
5520,2jfz,5.24
5521,2k3w,5.24
5522,2lsr,5.24
5523,2qq7,5.24
5524,2vgc,5.24
5525,2vvt,5.24
5526,3aw0,5.24
5527,3e16,5.24
5528,3m59,5.24
5529,3mle,5.24
5530,3mqf,5.24
5531,3okh,5.24
5532,3pb8,5.24
5533,3qck,5.24
5534,3qxh,5.24
5535,3r01,5.24
5536,3rjc,5.24
5537,3tz2,5.24
5538,3ueu,5.24
5539,4drm,5.24
5540,4drn,5.24
5541,4e81,5.24
5542,4f7j,5.24
5543,4fk7,5.24
5544,4gue,5.24
5545,4idn,5.24
5546,4ih7,5.24
5547,4j70,5.24
5548,4non,5.24
5549,4o7e,5.24
5550,4utx,5.24
5551,4uua,5.24
5552,4x6s,5.24
5553,4y59,5.24
5554,4zv1,5.24
5555,5d24,5.24
5556,5d3j,5.24
5557,5d6q,5.24
5558,5edd,5.24
5559,5hjd,5.24
5560,5n7x,5.24
5561,5w1e,5.24
5562,6a9o,5.24
5563,6cf6,5.24
5564,6gxg,5.24
5565,6gxy,5.24
5566,6iot,5.24
5567,1okw,5.25
5568,2bfr,5.25
5569,2pv3,5.25
5570,2xl2,5.25
5571,2xl3,5.25
5572,3pj3,5.25
5573,3r24,5.25
5574,3tdj,5.25
5575,3u1i,5.25
5576,4flk,5.25
5577,4j2c,5.25
5578,4pkv,5.25
5579,5b5f,5.25
5580,5b5g,5.25
5581,5du4,5.25
5582,5nfa,5.25
5583,5q17,5.25
5584,5twj,5.25
5585,5xup,5.25
5586,5yie,5.25
5587,6a03,5.25
5588,6ccm,5.25
5589,6d4w,5.25
5590,6fc6,5.25
5591,6qtm,5.25
5592,1v0o,5.26
5593,1w4q,5.26
5594,2brn,5.26
5595,2oz6,5.26
5596,2qft,5.26
5597,2vcb,5.26
5598,3n9s,5.26
5599,3sb0,5.26
5600,3twx,5.26
5601,4jaj,5.26
5602,4l1u,5.26
5603,4omj,5.26
5604,4qz5,5.26
5605,4r5x,5.26
5606,4w9g,5.26
5607,5a7i,5.26
5608,5akz,5.26
5609,5c7c,5.26
5610,5gs9,5.26
5611,5iq6,5.26
5612,5kxc,5.26
5613,5vlk,5.26
5614,6bcr,5.26
5615,6fdp,5.26
5616,6m8a,5.26
5617,6q2y,5.26
5618,6t1i,5.26
5619,1qca,5.27
5620,2az5,5.27
5621,2lsv,5.27
5622,2x7u,5.27
5623,3bmo,5.27
5624,3chp,5.27
5625,3g2u,5.27
5626,3sz9,5.27
5627,3tkw,5.27
5628,3zrc,5.27
5629,4jfs,5.27
5630,4pl4,5.27
5631,4r6w,5.27
5632,4r6x,5.27
5633,4yzm,5.27
5634,4zx6,5.27
5635,5hwu,5.27
5636,5ir1,5.27
5637,5irr,5.27
5638,5ltn,5.27
5639,5mxo,5.27
5640,5v5d,5.27
5641,6cj1,5.27
5642,1b46,5.28
5643,1ckb,5.28
5644,1f5l,5.28
5645,1kfy,5.28
5646,1s5q,5.28
5647,2uw4,5.28
5648,2vip,5.28
5649,2x2l,5.28
5650,2yjq,5.28
5651,3bbf,5.28
5652,3coj,5.28
5653,3hxc,5.28
5654,3o5x,5.28
